variant,evidence_scope,case_id,complexity,max_severity,P@5,R@5,F1@5,nDCG@5,MAP,MRR
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,CHILD_004,moderate,4,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6833333333333333,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ELDER_002,moderate,4,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ELDER_009,moderate,3,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,DISABLED_004,moderate,4,0.0,0.0,0.0,0.0,0.1625,0.125
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,DISABLED_006,moderate,4,0.4,1.0,0.5714285714285715,0.9327783893101107,0.7,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,HOMELESS_003,simple,3,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,MENTAL_006,complex,4,0.2,1.0,0.33333333333333337,0.5,0.3333333333333333,0.3333333333333333
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,MENTAL_008,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,MENTAL_009,complex,4,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,SUBSTANCE_003,simple,2,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NCD_001,simple,2,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NCD_004,complex,4,0.0,0.0,0.0,0.0,0.125,0.125
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NCD_008,complex,4,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,HIV_TB_003,simple,1,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,BEDRIDDEN_003,moderate,4,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,BEDRIDDEN_004,complex,4,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,BEDRIDDEN_008,moderate,4,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,REHAB_002,simple,2,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,FINANCE_001,simple,2,0.4,1.0,0.5714285714285715,0.944847956559586,0.75,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,LOVE_004,simple,3,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,FAMILY_001,moderate,4,0.4,1.0,0.5714285714285715,1.0,1.0,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,VIOLENCE_004,simple,2,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,CHILD_004_PAR_01,moderate,4,0.4,0.6666666666666666,0.5,0.7653606369886217,0.7777777777777778,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,DISABLED_004_PAR_01,moderate,4,0.0,0.0,0.0,0.0,0.23095238095238094,0.14285714285714285
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,DISABLED_006_PAR_01,moderate,4,0.4,0.5,0.4444444444444445,0.7520764230169481,0.5041208791208791,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,MENTAL_008_PAR_01,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,SUBSTANCE_003_PAR_01,simple,2,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NCD_001_PAR_01,simple,2,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,FINANCE_001_PAR_01,simple,2,0.4,1.0,0.5714285714285715,0.944847956559586,0.75,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,FAMILY_001_PAR_01,moderate,4,0.4,1.0,0.5714285714285715,1.0,1.0,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,HOMELESS_003_ESC_01,complex,4,0.4,0.6666666666666666,0.5,0.7653606369886217,0.7575757575757575,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_001,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_002,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_003,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_004,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,ADV_005,moderate,3,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_SH_POS,moderate,5,0.6,0.75,0.6666666666666665,0.787702056960637,0.775,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_SH_NEG,moderate,1,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_SM_POS,simple,3,0.6,0.75,0.6666666666666665,0.8048099750039491,0.7986111111111112,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_SM_NEG,simple,1,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_SL_POS,simple,2,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_SL_NEG,simple,1,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_MH_POS,complex,5,0.6,0.6,0.6,0.811925988329848,0.6922222222222222,1.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_MH_NEG,complex,1,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_MM_POS,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_MM_NEG,moderate,3,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_ML_POS,simple,2,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_ML_NEG,simple,3,0.0,0.0,0.0,0.0,0.0,0.0
Severity Prior (oracle-stratified eval only),evaluation-only; max_severity derived from expected_diagnosis labels,NEG_LH_POS,complex,5,0.6,0.75,0.6666666666666665,0.8318724637288826,0.8928571428571428,1.0
