method,case_id,complexity,P@5,R@5,F1@5,nDCG@5,MAP,MRR,retrieval_time
basic,CHILD_001,moderate,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,9.936773777008057
basic,CHILD_002,complex,0.8,0.8,0.8000000000000002,0.49479222926951455,0.821111111111111,1.0,1.7308716773986816
basic,CHILD_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.0545649528503418
basic,CHILD_004,moderate,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6659090909090909,1.0,1.1219840049743652
basic,CHILD_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,0.9863519668579102
basic,ELDER_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.917755126953125
basic,ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.1617538928985596
basic,ELDER_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9527969360351562
basic,ELDER_004,complex,0.6,0.375,0.4615384615384615,0.6843515475204855,0.6715277777777777,1.0,1.313784122467041
basic,ELDER_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.971461296081543
basic,ELDER_006,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0232820510864258
basic,ELDER_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9300007820129395
basic,ELDER_008,complex,0.4,0.6666666666666666,0.5,0.5792374606819809,0.5555555555555555,0.5,1.110457181930542
basic,ELDER_009,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.003208875656128
basic,ELDER_010,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,2.1019957065582275
basic,DISABLED_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.2892568111419678
basic,DISABLED_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0421507358551025
basic,DISABLED_003,complex,0.4,1.0,0.5714285714285715,0.8772153153380493,0.75,1.0,1.1816937923431396
basic,DISABLED_004,moderate,0.0,0.0,0.0,0.0,0.14583333333333331,0.125,1.2234833240509033
basic,DISABLED_005,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.8970620632171631
basic,DISABLED_006,moderate,0.4,0.5,0.4444444444444445,0.7424693355471289,0.47435897435897434,1.0,1.236720085144043
basic,DISABLED_007,complex,0.6,0.5,0.5454545454545454,0.7943233365467345,0.6736111111111112,1.0,1.1745221614837646
basic,DISABLED_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.0530359745025635
basic,DISABLED_009,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9939570426940918
basic,DISABLED_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0988750457763672
basic,HOMELESS_001,moderate,0.2,0.25,0.22222222222222224,0.4396592698888862,0.4202380952380952,1.0,0.9169609546661377
basic,HOMELESS_002,complex,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.0556540489196777
basic,HOMELESS_003,simple,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,0.9112019538879395
