case_id,n_distinct_rankings,ranking_changed
ADV_001,1,False
ADV_002,2,True
ADV_003,1,False
ADV_004,1,False
ADV_005,2,True
ADV_006,3,True
ADV_007,3,True
ADV_008,2,True
ADV_009,3,True
ADV_010,1,False
ADV_011,2,True
ADV_012,2,True
ADV_013,3,True
ADV_014,1,False
ADV_015,3,True
ADV_016,2,True
ADV_017,1,False
ADV_018,3,True
ADV_019,2,True
ADV_020,1,False
BEDRIDDEN_003,2,True
BEDRIDDEN_004,2,True
BEDRIDDEN_008,2,True
CHILD_004,1,False
CHILD_004_PAR_01,1,False
DISABLED_004,3,True
DISABLED_004_PAR_01,2,True
DISABLED_006,1,False
DISABLED_006_PAR_01,3,True
ELDER_002,3,True
ELDER_009,2,True
FAMILY_001,3,True
FAMILY_001_PAR_01,3,True
FINANCE_001,3,True
FINANCE_001_PAR_01,3,True
HIV_TB_003,1,False
HOMELESS_003,3,True
HOMELESS_003_ESC_01,3,True
LOVE_004,1,False
MENTAL_006,1,False
MENTAL_008,3,True
MENTAL_008_PAR_01,3,True
MENTAL_009,1,False
NCD_001,1,False
NCD_001_PAR_01,1,False
NCD_004,3,True
NCD_008,2,True
NEG_LH_NEG,1,False
NEG_LH_NEG_V2,3,True
NEG_LH_POS,2,True
NEG_LH_POS_V2,2,True
NEG_LL_NEG,1,False
NEG_LL_NEG_V2,1,False
NEG_LL_POS,2,True
NEG_LL_POS_V2,1,False
NEG_LM_NEG,1,False
NEG_LM_NEG_V2,1,False
NEG_LM_POS,2,True
NEG_LM_POS_V2,2,True
NEG_MH_NEG,1,False
NEG_MH_NEG_V2,2,True
NEG_MH_POS,3,True
NEG_MH_POS_V2,1,False
NEG_ML_NEG,2,True
NEG_ML_NEG_V2,2,True
NEG_ML_POS,1,False
NEG_ML_POS_V2,3,True
NEG_MM_NEG,3,True
NEG_MM_NEG_V2,3,True
NEG_MM_POS,3,True
NEG_MM_POS_V2,3,True
NEG_SH_NEG,3,True
NEG_SH_NEG_V2,1,False
NEG_SH_POS,2,True
NEG_SH_POS_V2,1,False
NEG_SL_NEG,1,False
NEG_SL_NEG_V2,1,False
NEG_SL_POS,1,False
NEG_SL_POS_V2,1,False
NEG_SM_NEG,2,True
NEG_SM_NEG_V2,2,True
NEG_SM_POS,2,True
NEG_SM_POS_V2,1,False
REHAB_002,1,False
SHORT_ABUSE_01,2,True
SHORT_CHILD_01,3,True
SHORT_ELDER_01,3,True
SHORT_HOMELESS_01,1,False
SHORT_MENTAL_01,1,False
SUBSTANCE_003,2,True
SUBSTANCE_003_PAR_01,1,False
TINY_ABUSE_01,3,True
TINY_HOMELESS_01,1,False
TINY_MENTAL_01,1,False
VIOLENCE_004,1,False
