base_strategy,h2l_filter,case_id,complexity,P@5,R@5,F1@5,nDCG@5,MAP,MRR
bm25_only,OFF,CHILD_004,moderate,0.4,0.6666666666666666,0.5,0.39480936517049525,0.7333333333333334,1.0
bm25_only,OFF,ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,ELDER_009,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,DISABLED_004,moderate,0.0,0.0,0.0,0.0,0.1388888888888889,0.1111111111111111
bm25_only,OFF,DISABLED_006,moderate,0.4,0.5,0.4444444444444445,0.6234997966086261,0.6583333333333333,1.0
bm25_only,OFF,HOMELESS_003,simple,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
bm25_only,OFF,MENTAL_006,complex,0.2,1.0,0.33333333333333337,0.38685280723454163,0.2,0.2
bm25_only,OFF,MENTAL_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,MENTAL_009,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,SUBSTANCE_003,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NCD_001,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NCD_004,complex,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142
bm25_only,OFF,NCD_008,complex,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,HIV_TB_003,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,BEDRIDDEN_003,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
bm25_only,OFF,BEDRIDDEN_004,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
bm25_only,OFF,BEDRIDDEN_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,REHAB_002,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0
bm25_only,OFF,FINANCE_001,simple,0.4,0.6666666666666666,0.5,0.878961873034099,0.8095238095238094,1.0
bm25_only,OFF,LOVE_004,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,FAMILY_001,moderate,0.4,1.0,0.5714285714285715,0.9197207891481876,0.8333333333333333,1.0
bm25_only,OFF,VIOLENCE_004,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,CHILD_004_PAR_01,moderate,0.4,0.6666666666666666,0.5,0.39480936517049525,0.7333333333333334,1.0
bm25_only,OFF,DISABLED_004_PAR_01,moderate,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091
bm25_only,OFF,DISABLED_006_PAR_01,moderate,0.4,0.4,0.4000000000000001,0.5846607834833523,0.6108225108225109,1.0
bm25_only,OFF,MENTAL_008_PAR_01,moderate,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,SUBSTANCE_003_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,NCD_001_PAR_01,simple,0.0,0.0,0.0,0.0,0.0,0.0
bm25_only,OFF,FINANCE_001_PAR_01,simple,0.4,0.6666666666666666,0.5,0.878961873034099,0.8333333333333334,1.0
bm25_only,OFF,FAMILY_001_PAR_01,moderate,0.4,1.0,0.5714285714285715,0.9197207891481876,0.8333333333333333,1.0
