model,repeat,case_id,complexity,category,evaluation_slice,augmentation,augmentation_type,strategy,P@5,R@5,F1@5,DCG@5,IDCG@5,nDCG@5,P@10,R@10,F1@10,DCG@10,IDCG@10,nDCG@10,P@15,R@15,F1@15,DCG@15,IDCG@15,nDCG@15,MAP,MRR
qwen2.5:7b,1,CHILD_004,moderate,เด็กและเยาวชน,,,original,bm25_only,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,CHILD_004,moderate,เด็กและเยาวชน,,,original,naive_rag,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06666666666666667,1.0,0.125,0.26264953503719357,1.0,0.26264953503719357,0.07692307692307693,0.07692307692307693
qwen2.5:7b,1,CHILD_004,moderate,เด็กและเยาวชน,,,original,hyde,0.4,0.6666666666666666,0.5,1.9306765580733931,4.130929753571458,0.46737094873235197,0.3,1.0,0.4615384615384615,2.2640098914067264,4.130929753571458,0.5480630333762859,0.2,1.0,0.33333333333333337,2.2640098914067264,4.130929753571458,0.5480630333762859,0.42063492063492064,0.3333333333333333
qwen2.5:7b,1,CHILD_004,moderate,เด็กและเยาวชน,,,original,basic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,CHILD_004,moderate,เด็กและเยาวชน,,,original,h2l-bm25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06666666666666667,1.0,0.125,0.25,1.0,0.25,0.06666666666666667,0.06666666666666667
qwen2.5:7b,1,CHILD_004,moderate,เด็กและเยาวชน,,,original,h2l-naive_rag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,CHILD_004,moderate,เด็กและเยาวชน,,,original,h2l-hyde,0.2,0.3333333333333333,0.25,0.43067655807339306,4.130929753571458,0.10425656783464912,0.2,0.6666666666666666,0.30769230769230765,0.7640098914067264,4.130929753571458,0.18494865247858308,0.2,1.0,0.33333333333333337,1.531883965836173,4.130929753571458,0.37083273190781313,0.25,0.25
qwen2.5:7b,1,CHILD_004,moderate,เด็กและเยาวชน,,,original,h2l-hybrid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,ELDER_002,moderate,ผู้สูงอายุ,,,original,bm25_only,0.0,0.0,0.0,0.0,3.0,0.0,0.1,1.0,0.18181818181818182,1.0686215613240666,3.0,0.3562071871080222,0.06666666666666667,1.0,0.125,1.0686215613240666,3.0,0.3562071871080222,0.16666666666666666,0.16666666666666666
qwen2.5:7b,1,ELDER_002,moderate,ผู้สูงอายุ,,,original,naive_rag,0.2,0.5,0.28571428571428575,1.1605584217036249,4.892789260714372,0.23719771276929622,0.1,0.5,0.16666666666666669,1.1605584217036249,4.892789260714372,0.23719771276929622,0.13333333333333333,1.0,0.23529411764705882,1.9485070268152054,4.892789260714372,0.39824053785850433,0.17692307692307693,0.2
qwen2.5:7b,1,ELDER_002,moderate,ผู้สูงอายุ,,,original,hyde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qwen2.5:7b,1,ELDER_002,moderate,ผู้สูงอายุ,,,original,basic,0.0,0.0,0.0,0.0,4.892789260714372,0.0,0.1,0.5,0.16666666666666669,1.0686215613240666,4.892789260714372,0.21840743681816419,0.13333333333333333,1.0,0.23529411764705882,1.8793360246060258,4.892789260714372,0.3841032025833937,0.16666666666666666,0.16666666666666666
