variant,case_id,complexity,category,P@5,R@5,F1@5,nDCG@5,MAP,MRR,rank_changed_at5,mean_abs_score_delta,n_detected_problems
Full V6,CHILD_001,moderate,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,True,0.05226636878368636,2
Full V6,CHILD_002,complex,เด็กและเยาวชน,0.6,0.6,0.6,0.3901571199623462,0.6944444444444444,1.0,True,0.05022459679452411,5
Full V6,CHILD_003,simple,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,True,0.05253838848617157,2
Full V6,CHILD_004,moderate,เด็กและเยาวชน,0.4,0.4,0.4000000000000001,0.26261611549809705,0.5988095238095238,1.0,True,0.05438156466465651,3
Full V6,CHILD_005,complex,เด็กและเยาวชน,0.0,0.0,0.0,0.0,0.0,0.0,True,0.050041510342967714,0
Full V6,ELDER_001,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.05030039983292456,1
Full V6,ELDER_002,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.14486344442471155,7
Full V6,ELDER_003,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.04954912384393398,2
Full V6,ELDER_004,complex,ผู้สูงอายุ,0.8,0.5714285714285714,0.6666666666666666,0.8687949224876582,0.8347247990105133,1.0,True,0.12189492095396978,10
Full V6,ELDER_005,moderate,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,False,0.04872309034280823,2
Full V6,ELDER_006,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,True,0.05492628886742999,5
Full V6,ELDER_007,simple,ผู้สูงอายุ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.05075428638362854,0
Full V6,ELDER_008,complex,ผู้สูงอายุ,0.6,1.0,0.7499999999999999,0.5865409417085417,0.6388888888888888,0.5,True,0.07546675210189076,6
Full V6,ELDER_009,moderate,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,True,0.04757550294355187,4
Full V6,ELDER_010,complex,ผู้สูงอายุ,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,True,0.07637816723865189,3
Full V6,DISABLED_001,simple,คนพิการ,0.0,0.0,0.0,0.0,0.0,0.0,True,0.049095283348826,2
