method,case_id,complexity,P@5,R@5,F1@5,nDCG@5,MAP,MRR,retrieval_time
basic,CHILD_001,moderate,0.0,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,13.986829996109009
basic,CHILD_002,complex,0.8,0.8,0.8000000000000002,0.49479222926951455,0.821111111111111,1.0,1.969040870666504
basic,CHILD_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.1018481254577637
basic,CHILD_004,moderate,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6659090909090909,1.0,1.1242239475250244
basic,CHILD_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,0.9146907329559326
basic,ELDER_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9409940242767334
basic,ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.2263479232788086
basic,ELDER_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9465880393981934
basic,ELDER_004,complex,0.6,0.375,0.4615384615384615,0.6843515475204855,0.6715277777777777,1.0,1.2964849472045898
basic,ELDER_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.0300118923187256
basic,ELDER_006,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0891032218933105
basic,ELDER_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9973649978637695
basic,ELDER_008,complex,0.4,0.6666666666666666,0.5,0.5792374606819809,0.5555555555555555,0.5,1.136810064315796
basic,ELDER_009,moderate,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.0405070781707764
basic,ELDER_010,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.564028024673462
basic,DISABLED_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.4275281429290771
basic,DISABLED_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.5768451690673828
basic,DISABLED_003,complex,0.4,1.0,0.5714285714285715,0.8772153153380493,0.75,1.0,1.2696828842163086
basic,DISABLED_004,moderate,0.0,0.0,0.0,0.0,0.14583333333333331,0.125,1.2538681030273438
basic,DISABLED_005,simple,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9890329837799072
basic,DISABLED_006,moderate,0.4,0.5,0.4444444444444445,0.7424693355471289,0.47435897435897434,1.0,1.2740678787231445
basic,DISABLED_007,complex,0.6,0.5,0.5454545454545454,0.7943233365467345,0.6736111111111112,1.0,1.1733849048614502
basic,DISABLED_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.8145041465759277
basic,DISABLED_009,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.2311499118804932
basic,DISABLED_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.499344825744629
basic,HOMELESS_001,moderate,0.2,0.25,0.22222222222222224,0.4396592698888862,0.4202380952380952,1.0,1.055129051208496
basic,HOMELESS_002,complex,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.1145830154418945
basic,HOMELESS_003,simple,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,0.9296822547912598
basic,HOMELESS_004,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0301811695098877
basic,HOMELESS_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.163621187210083
basic,MENTAL_001,moderate,0.4,0.5,0.4444444444444445,0.6290102109696928,0.573051948051948,1.0,1.0441548824310303
basic,MENTAL_002,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.213573694229126
basic,MENTAL_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9729490280151367
basic,MENTAL_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.171436071395874
basic,MENTAL_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9684333801269531
basic,MENTAL_006,complex,0.2,1.0,0.33333333333333337,0.38685280723454163,0.2,0.2,1.182455062866211
basic,MENTAL_007,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9716072082519531
basic,MENTAL_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.0261220932006836
basic,MENTAL_009,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.0715117454528809
basic,MENTAL_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0161700248718262
basic,SUBSTANCE_001,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9733779430389404
basic,SUBSTANCE_002,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.013958215713501
basic,SUBSTANCE_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8542511463165283
basic,SUBSTANCE_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.994394063949585
basic,NCD_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.9179608821868896
basic,NCD_002,moderate,0.0,0.0,0.0,0.0,0.1,0.1,0.9710330963134766
basic,NCD_003,moderate,0.4,0.4,0.4000000000000001,0.5087403079104241,0.5071428571428571,1.0,0.8896689414978027
basic,NCD_004,complex,0.0,0.0,0.0,0.0,0.125,0.125,1.1472148895263672
basic,NCD_005,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8729021549224854
basic,NCD_006,moderate,0.0,0.0,0.0,0.0,0.0,0.0,1.0168790817260742
basic,NCD_007,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.184229850769043
basic,NCD_008,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.1080291271209717
basic,NCD_009,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8806638717651367
basic,NCD_010,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.0726511478424072
basic,HIV_TB_001,moderate,0.4,1.0,0.5714285714285715,1.0,1.0,1.0,1.026543140411377
basic,HIV_TB_002,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.1679308414459229
basic,HIV_TB_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8409109115600586
basic,HIV_TB_004,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9927091598510742
basic,HIV_TB_005,complex,0.2,1.0,0.33333333333333337,0.6309297535714575,0.5,0.5,1.1354753971099854
basic,BEDRIDDEN_001,complex,0.6,0.5,0.5454545454545454,0.6843515475204855,0.7120731120731122,1.0,1.0447869300842285
basic,BEDRIDDEN_002,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9568078517913818
basic,BEDRIDDEN_003,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,6.156841993331909
basic,BEDRIDDEN_004,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,1.5257041454315186
basic,BEDRIDDEN_005,moderate,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.928704023361206
basic,BEDRIDDEN_006,simple,0.0,0.0,0.0,0.0,0.0,0.0,0.8222720623016357
basic,BEDRIDDEN_007,complex,0.2,1.0,0.33333333333333337,1.0,1.0,1.0,0.9055771827697754
basic,BEDRIDDEN_008,moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.9788329601287842
basic,BEDRIDDEN_009,moderate,0.4,1.0,0.5714285714285715,0.8772153153380493,0.75,1.0,0.8250970840454102
h2l-hybrid,CHILD_001,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.017449140548706
h2l-hybrid,CHILD_002,complex,0.6,0.6,0.6,0.4166158115319974,0.7944444444444445,1.0,5.212881803512573
h2l-hybrid,CHILD_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.9299850463867188
h2l-hybrid,CHILD_004,moderate,0.4,0.5,0.4444444444444445,0.35753408824606947,0.6833333333333333,1.0,2.377772092819214
h2l-hybrid,CHILD_005,complex,0.0,0.0,0.0,0.0,0.0,0.0,1.702690839767456
h2l-hybrid,ELDER_001,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.977029800415039
h2l-hybrid,ELDER_002,moderate,0.0,0.0,0.0,0.0,0.0,0.0,6.929084062576294
h2l-hybrid,ELDER_003,simple,0.0,0.0,0.0,0.0,0.0,0.0,1.4209840297698975
h2l-hybrid,ELDER_004,complex,0.6,0.375,0.4615384615384615,0.6843515475204855,0.6838945776445777,1.0,5.930502891540527
h2l-hybrid,ELDER_005,moderate,0.0,0.0,0.0,0.0,0.0,0.0,2.153712749481201
